P.k1.,T.k2.,Dry_Price.k3.,Wet_Price.k4.,Capital_cost.k5.,OM_cost.k6.,Sediment.k7.,Seismic.k8.,NPV,Build_decision
-40,0,0.042,0.023,100,50,0.6,0,-5.438410558,0
-20,0,0.042,0.023,100,50,0.6,0,4.440146042,1
0,0,0.042,0.023,100,50,0.6,0,9.213351438,1
20,0,0.042,0.023,100,50,0.6,0,10.75166431,1
40,0,0.042,0.023,100,50,0.6,0,12.34009613,1
-40,2,0.042,0.023,100,50,0.6,0,-6.235746716,0
-20,2,0.042,0.023,100,50,0.6,0,3.513872602,1
0,2,0.042,0.023,100,50,0.6,0,9.053654954,1
20,2,0.042,0.023,100,50,0.6,0,10.55479235,1
40,2,0.042,0.023,100,50,0.6,0,12.1140054,1
-40,4,0.042,0.023,100,50,0.6,0,-6.92521906,0
-20,4,0.042,0.023,100,50,0.6,0,2.456821654,1
0,4,0.042,0.023,100,50,0.6,0,8.803784627,1
20,4,0.042,0.023,100,50,0.6,0,10.21943793,1
40,4,0.042,0.023,100,50,0.6,0,11.70747112,1
-40,6,0.042,0.023,100,50,0.6,0,-7.16459116,0
-20,6,0.042,0.023,100,50,0.6,0,1.79948942,1
0,6,0.042,0.023,100,50,0.6,0,8.598922187,1
20,6,0.042,0.023,100,50,0.6,0,9.938356632,1
40,6,0.042,0.023,100,50,0.6,0,11.2924201,1
-40,0,0.084,0.023,100,50,0.6,0,-2.660536716,0
-20,0,0.084,0.023,100,50,0.6,0,8.993408931,1
0,0,0.084,0.023,100,50,0.6,0,15.29350288,1
20,0,0.084,0.023,100,50,0.6,0,18.37012862,1
40,0,0.084,0.023,100,50,0.6,0,21.54699225,1
-40,2,0.084,0.023,100,50,0.6,0,-3.633229682,0
-20,2,0.084,0.023,100,50,0.6,0,7.929357412,1
0,2,0.084,0.023,100,50,0.6,0,14.97410991,1
20,2,0.084,0.023,100,50,0.6,0,17.97638469,1
40,2,0.084,0.023,100,50,0.6,0,21.09481079,1
-40,4,0.084,0.023,100,50,0.6,0,-4.514024839,0
-20,4,0.084,0.023,100,50,0.6,0,6.677679019,1
0,4,0.084,0.023,100,50,0.6,0,14.47436925,1
20,4,0.084,0.023,100,50,0.6,0,17.30567585,1
40,4,0.084,0.023,100,50,0.6,0,20.28174224,1
-40,6,0.084,0.023,100,50,0.6,0,-4.790841509,0
-20,6,0.084,0.023,100,50,0.6,0,5.947757396,1
0,6,0.084,0.023,100,50,0.6,0,14.06464437,1
20,6,0.084,0.023,100,50,0.6,0,16.74351326,1
40,6,0.084,0.023,100,50,0.6,0,19.4516402,1
-40,0,0.168,0.023,100,50,0.6,0,2.895210967,1
-20,0,0.168,0.023,100,50,0.6,0,18.09993471,1
0,0,0.168,0.023,100,50,0.6,0,27.45380575,1
20,0,0.168,0.023,100,50,0.6,0,33.60705724,1
40,0,0.168,0.023,100,50,0.6,0,39.96078451,1
-40,2,0.168,0.023,100,50,0.6,0,1.571804385,1
-20,2,0.168,0.023,100,50,0.6,0,16.76032703,1
0,2,0.168,0.023,100,50,0.6,0,26.81501982,1
20,2,0.168,0.023,100,50,0.6,0,32.81956939,1
40,2,0.168,0.023,100,50,0.6,0,39.05642159,1
-40,4,0.168,0.023,100,50,0.6,0,0.308363603,1
-20,4,0.168,0.023,100,50,0.6,0,15.11939375,1
0,4,0.168,0.023,100,50,0.6,0,25.81553851,1
20,4,0.168,0.023,100,50,0.6,0,31.47815171,1
40,4,0.168,0.023,100,50,0.6,0,37.43028448,1
-40,6,0.168,0.023,100,50,0.6,0,-0.043342208,0
-20,6,0.168,0.023,100,50,0.6,0,14.24429335,1
0,6,0.168,0.023,100,50,0.6,0,24.99608875,1
20,6,0.168,0.023,100,50,0.6,0,30.35382653,1
40,6,0.168,0.023,100,50,0.6,0,35.77008039,1
-40,0,0.042,0.046,100,50,0.6,0,1.345305042,1
-20,0,0.042,0.046,100,50,0.6,0,19.32702919,1
0,0,0.042,0.046,100,50,0.6,0,27.34655144,1
20,0,0.042,0.046,100,50,0.6,0,28.88486431,1
40,0,0.042,0.046,100,50,0.6,0,30.47329613,1
-40,2,0.042,0.046,100,50,0.6,0,-0.074010467,0
-20,2,0.042,0.046,100,50,0.6,0,17.61226039,1
0,2,0.042,0.046,100,50,0.6,0,27.18685495,1
20,2,0.042,0.046,100,50,0.6,0,28.68799235,1
40,2,0.042,0.046,100,50,0.6,0,30.2472054,1
-40,4,0.042,0.046,100,50,0.6,0,-1.261632342,0
-20,4,0.042,0.046,100,50,0.6,0,15.69278594,1
0,4,0.042,0.046,100,50,0.6,0,26.93698463,1
20,4,0.042,0.046,100,50,0.6,0,28.35263793,1
40,4,0.042,0.046,100,50,0.6,0,29.84067112,1
-40,6,0.042,0.046,100,50,0.6,0,-1.70293197,0
-20,6,0.042,0.046,100,50,0.6,0,14.45071086,1
0,6,0.042,0.046,100,50,0.6,0,26.73212219,1
20,6,0.042,0.046,100,50,0.6,0,28.07155663,1
40,6,0.042,0.046,100,50,0.6,0,29.4256201,1
-40,0,0.084,0.046,100,50,0.6,0,4.123178884,1
-20,0,0.084,0.046,100,50,0.6,0,23.88029208,1
0,0,0.084,0.046,100,50,0.6,0,33.42670288,1
20,0,0.084,0.046,100,50,0.6,0,36.50332862,1
40,0,0.084,0.046,100,50,0.6,0,39.68019225,1
-40,2,0.084,0.046,100,50,0.6,0,2.528506567,1
-20,2,0.084,0.046,100,50,0.6,0,22.0277452,1
0,2,0.084,0.046,100,50,0.6,0,33.10730991,1
20,2,0.084,0.046,100,50,0.6,0,36.10958469,1
40,2,0.084,0.046,100,50,0.6,0,39.22801079,1
-40,4,0.084,0.046,100,50,0.6,0,1.149561879,1
-20,4,0.084,0.046,100,50,0.6,0,19.91364331,1
0,4,0.084,0.046,100,50,0.6,0,32.60756925,1
20,4,0.084,0.046,100,50,0.6,0,35.43887585,1
40,4,0.084,0.046,100,50,0.6,0,38.41494224,1
-40,6,0.084,0.046,100,50,0.6,0,0.67081768,1
-20,6,0.084,0.046,100,50,0.6,0,18.59897884,1
0,6,0.084,0.046,100,50,0.6,0,32.19784437,1
20,6,0.084,0.046,100,50,0.6,0,34.87671326,1
40,6,0.084,0.046,100,50,0.6,0,37.5848402,1
-40,0,0.168,0.046,100,50,0.6,0,9.678926568,1
-20,0,0.168,0.046,100,50,0.6,0,32.98681786,1
0,0,0.168,0.046,100,50,0.6,0,45.58700575,1
20,0,0.168,0.046,100,50,0.6,0,51.74025724,1
40,0,0.168,0.046,100,50,0.6,0,58.09398451,1
-40,2,0.168,0.046,100,50,0.6,0,7.733540635,1
-20,2,0.168,0.046,100,50,0.6,0,30.85871482,1
0,2,0.168,0.046,100,50,0.6,0,44.94821982,1
20,2,0.168,0.046,100,50,0.6,0,50.95276939,1
40,2,0.168,0.046,100,50,0.6,0,57.18962159,1
-40,4,0.168,0.046,100,50,0.6,0,5.971950322,1
-20,4,0.168,0.046,100,50,0.6,0,28.35535804,1
0,4,0.168,0.046,100,50,0.6,0,43.94873851,1
20,4,0.168,0.046,100,50,0.6,0,49.61135171,1
40,4,0.168,0.046,100,50,0.6,0,55.56348448,1
-40,6,0.168,0.046,100,50,0.6,0,5.418316982,1
-20,6,0.168,0.046,100,50,0.6,0,26.89551479,1
0,6,0.168,0.046,100,50,0.6,0,43.12928875,1
20,6,0.168,0.046,100,50,0.6,0,48.48702653,1
40,6,0.168,0.046,100,50,0.6,0,53.90328039,1
-40,0,0.042,0.092,100,50,0.6,0,14.91273624,1
-20,0,0.042,0.092,100,50,0.6,0,49.1007955,1
0,0,0.042,0.092,100,50,0.6,0,63.61295144,1
20,0,0.042,0.092,100,50,0.6,0,65.15126431,1
40,0,0.042,0.092,100,50,0.6,0,66.73969613,1
-40,2,0.042,0.092,100,50,0.6,0,12.24946203,1
-20,2,0.042,0.092,100,50,0.6,0,45.80903598,1
0,2,0.042,0.092,100,50,0.6,0,63.45325495,1
20,2,0.042,0.092,100,50,0.6,0,64.95439235,1
40,2,0.042,0.092,100,50,0.6,0,66.5136054,1
-40,4,0.042,0.092,100,50,0.6,0,10.06554109,1
-20,4,0.042,0.092,100,50,0.6,0,42.16471452,1
0,4,0.042,0.092,100,50,0.6,0,63.20338463,1
20,4,0.042,0.092,100,50,0.6,0,64.61903793,1
40,4,0.042,0.092,100,50,0.6,0,66.10707112,1
-40,6,0.042,0.092,100,50,0.6,0,9.220386408,1
-20,6,0.042,0.092,100,50,0.6,0,39.75315375,1
0,6,0.042,0.092,100,50,0.6,0,62.99852219,1
20,6,0.042,0.092,100,50,0.6,0,64.33795663,1
40,6,0.042,0.092,100,50,0.6,0,65.6920201,1
-40,0,0.084,0.092,100,50,0.6,0,17.69061008,1
-20,0,0.084,0.092,100,50,0.6,0,53.65405839,1
0,0,0.084,0.092,100,50,0.6,0,69.69310288,1
20,0,0.084,0.092,100,50,0.6,0,72.76972862,1
40,0,0.084,0.092,100,50,0.6,0,75.94659225,1
-40,2,0.084,0.092,100,50,0.6,0,14.85197907,1
-20,2,0.084,0.092,100,50,0.6,0,50.22452079,1
0,2,0.084,0.092,100,50,0.6,0,69.37370991,1
20,2,0.084,0.092,100,50,0.6,0,72.37598469,1
40,2,0.084,0.092,100,50,0.6,0,75.49441079,1
-40,4,0.084,0.092,100,50,0.6,0,12.47673532,1
-20,4,0.084,0.092,100,50,0.6,0,46.38557189,1
0,4,0.084,0.092,100,50,0.6,0,68.87396925,1
20,4,0.084,0.092,100,50,0.6,0,71.70527585,1
40,4,0.084,0.092,100,50,0.6,0,74.68134224,1
-40,6,0.084,0.092,100,50,0.6,0,11.59413606,1
-20,6,0.084,0.092,100,50,0.6,0,43.90142173,1
0,6,0.084,0.092,100,50,0.6,0,68.46424437,1
20,6,0.084,0.092,100,50,0.6,0,71.14311326,1
40,6,0.084,0.092,100,50,0.6,0,73.8512402,1
-40,0,0.168,0.092,100,50,0.6,0,23.24635777,1
-20,0,0.168,0.092,100,50,0.6,0,62.76058417,1
0,0,0.168,0.092,100,50,0.6,0,81.85340575,1
20,0,0.168,0.092,100,50,0.6,0,88.00665724,1
40,0,0.168,0.092,100,50,0.6,0,94.36038451,1
-40,2,0.168,0.092,100,50,0.6,0,20.05701313,1
-20,2,0.168,0.092,100,50,0.6,0,59.05549041,1
0,2,0.168,0.092,100,50,0.6,0,81.21461982,1
20,2,0.168,0.092,100,50,0.6,0,87.21916939,1
40,2,0.168,0.092,100,50,0.6,0,93.45602159,1
-40,4,0.168,0.092,100,50,0.6,0,17.29912376,1
-20,4,0.168,0.092,100,50,0.6,0,54.82728662,1
0,4,0.168,0.092,100,50,0.6,0,80.21513851,1
20,4,0.168,0.092,100,50,0.6,0,85.87775171,1
40,4,0.168,0.092,100,50,0.6,0,91.82988448,1
-40,6,0.168,0.092,100,50,0.6,0,16.34163536,1
-20,6,0.168,0.092,100,50,0.6,0,52.19795768,1
0,6,0.168,0.092,100,50,0.6,0,79.39568875,1
20,6,0.168,0.092,100,50,0.6,0,84.75342653,1
40,6,0.168,0.092,100,50,0.6,0,90.16968039,1
-40,0,0.042,0.023,200,50,0.6,0,-15.43841056,0
-20,0,0.042,0.023,200,50,0.6,0,-5.559853958,0
0,0,0.042,0.023,200,50,0.6,0,-0.786648562,0
20,0,0.042,0.023,200,50,0.6,0,0.75166431,1
40,0,0.042,0.023,200,50,0.6,0,2.340096126,1
-40,2,0.042,0.023,200,50,0.6,0,-16.23574672,0
-20,2,0.042,0.023,200,50,0.6,0,-6.486127398,0
0,2,0.042,0.023,200,50,0.6,0,-0.946345046,0
20,2,0.042,0.023,200,50,0.6,0,0.554792347,1
40,2,0.042,0.023,200,50,0.6,0,2.114005397,1
-40,4,0.042,0.023,200,50,0.6,0,-16.92521906,0
-20,4,0.042,0.023,200,50,0.6,0,-7.543178346,0
0,4,0.042,0.023,200,50,0.6,0,-1.196215373,0
20,4,0.042,0.023,200,50,0.6,0,0.219437927,1
40,4,0.042,0.023,200,50,0.6,0,1.70747112,1
-40,6,0.042,0.023,200,50,0.6,0,-17.16459116,0
-20,6,0.042,0.023,200,50,0.6,0,-8.20051058,0
0,6,0.042,0.023,200,50,0.6,0,-1.401077813,0
20,6,0.042,0.023,200,50,0.6,0,-0.061643368,0
40,6,0.042,0.023,200,50,0.6,0,1.292420098,1
-40,0,0.084,0.023,200,50,0.6,0,-12.66053672,0
-20,0,0.084,0.023,200,50,0.6,0,-1.006591069,0
0,0,0.084,0.023,200,50,0.6,0,5.293502875,1
20,0,0.084,0.023,200,50,0.6,0,8.370128619,1
40,0,0.084,0.023,200,50,0.6,0,11.54699225,1
-40,2,0.084,0.023,200,50,0.6,0,-13.63322968,0
-20,2,0.084,0.023,200,50,0.6,0,-2.070642588,0
0,2,0.084,0.023,200,50,0.6,0,4.974109908,1
20,2,0.084,0.023,200,50,0.6,0,7.976384694,1
40,2,0.084,0.023,200,50,0.6,0,11.09481079,1
-40,4,0.084,0.023,200,50,0.6,0,-14.51402484,0
-20,4,0.084,0.023,200,50,0.6,0,-3.322320981,0
0,4,0.084,0.023,200,50,0.6,0,4.474369253,1
20,4,0.084,0.023,200,50,0.6,0,7.305675855,1
40,4,0.084,0.023,200,50,0.6,0,10.28174224,1
-40,6,0.084,0.023,200,50,0.6,0,-14.79084151,0
-20,6,0.084,0.023,200,50,0.6,0,-4.052242604,0
0,6,0.084,0.023,200,50,0.6,0,4.064644373,1
20,6,0.084,0.023,200,50,0.6,0,6.743513263,1
40,6,0.084,0.023,200,50,0.6,0,9.451640196,1
-40,0,0.168,0.023,200,50,0.6,0,-7.104789033,0
-20,0,0.168,0.023,200,50,0.6,0,8.099934711,1
0,0,0.168,0.023,200,50,0.6,0,17.45380575,1
20,0,0.168,0.023,200,50,0.6,0,23.60705724,1
40,0,0.168,0.023,200,50,0.6,0,29.96078451,1
-40,2,0.168,0.023,200,50,0.6,0,-8.428195615,0
-20,2,0.168,0.023,200,50,0.6,0,6.760327033,1
0,2,0.168,0.023,200,50,0.6,0,16.81501982,1
